Date,Carrier,FlightNumber,DepAirport,DepCity,DepState,ArrAirport,ArrCity,ArrState,DepTime,DepDelay,ArrTIme,ArrDelay,Cancelled,CancelReason,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,ArrStatus,DepStatus,DelayCause
Jan,Endeavor,5337,DTW,"Detroit, MI",MI,TVC,"Traverse City, MI",MI,1207,-3,1318,-12,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Jan,Endeavor,5348,MSP,"Minneapolis, MN",MN,SDF,"Louisville, KY",KY,0953,-2,1240,-24,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Jan,Endeavor,5512,MSP,"Minneapolis, MN",MN,SAT,"San Antonio, TX",TX,1743,-5,2056,-7,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Jan,American,2498,ORD,"Chicago, IL",IL,MIA,"Miami, FL",FL,0626,-7,1044,4,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
Jan,American,2506,ORD,"Chicago, IL",IL,PHL,"Philadelphia, PA",PA,2227,22,0105,6,0,NA,NA,NA,NA,NA,NA,Late,Late,NA
Jan,American,2574,STL,"St. Louis, MO",MO,PHX,"Phoenix, AZ",AZ,0705,-5,1021,22,0,NA,0,0,22,0,0,Late,On Time,NA
Jan,American,194,ORD,"Chicago, IL",IL,LGA,"New York, NY",NY,1959,29,2244,9,0,NA,NA,NA,NA,NA,NA,Late,Late,NA
Jan,American,342,ORD,"Chicago, IL",IL,AUS,"Austin, TX",TX,1514,10,1811,20,0,NA,0,10,10,0,0,Late,Late,Weather
Jan,American,1411,ORD,"Chicago, IL",IL,MIA,"Miami, FL",FL,0530,-6,0957,14,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
Jan,American,2209,STL,"St. Louis, MO",MO,ORD,"Chicago, IL",IL,0930,-7,1043,-21,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
Jan,American,2244,ORD,"Chicago, IL",IL,DFW,"Dallas/Fort Worth, TX",TX,1400,49,1648,63,0,NA,0,26,14,0,23,Late,Late,Late Aircraft
Jan,American,2300,ORD,"Chicago, IL",IL,DFW,"Dallas/Fort Worth, TX",TX,1849,24,2125,28,0,NA,11,13,4,0,0,Late,Late,Weather
Jan,American,2326,DSM,"Des Moines, IA",IA,DFW,"Dallas/Fort Worth, TX",TX,0734,31,1005,41,0,NA,31,0,10,0,0,Late,Late,Carrier
Jan,Envoy,3621,ORD,"Chicago, IL",IL,ABQ,"Albuquerque, NM",NM,1030,29,1331,68,0,NA,0,29,39,0,0,Late,Late,Weather
Jan,Envoy,3640,ORD,"Chicago, IL",IL,GRR,"Grand Rapids, MI",MI,1843,7,2117,39,0,NA,7,0,32,0,0,Late,Late,Carrier
Jan,Envoy,3648,ORD,"Chicago, IL",IL,CHA,"Chattanooga, TN",TN,1508,-3,1803,13,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
Jan,Envoy,3657,ORD,"Chicago, IL",IL,GRR,"Grand Rapids, MI",MI,1135,-9,1400,21,0,NA,0,0,21,0,0,Late,On Time,NA
Jan,Envoy,3692,ORD,"Chicago, IL",IL,CMI,"Champaign/Urbana, IL",IL,1840,10,2007,40,0,NA,10,0,30,0,0,Late,Late,Carrier
Jan,Envoy,3725,ORD,"Chicago, IL",IL,DSM,"Des Moines, IA",IA,1517,1,1653,14,0,NA,NA,NA,NA,NA,NA,Late,Late,NA
Jan,Envoy,3738,ORD,"Chicago, IL",IL,GSO,"Greensboro/High Point, NC",NC,1134,0,1423,2,0,NA,NA,NA,NA,NA,NA,Late,On Time,NA
Jan,Envoy,3800,ORD,"Chicago, IL",IL,BNA,"Nashville, TN",TN,1017,43,1153,47,0,NA,43,0,4,0,0,Late,Late,Carrier
Jan,Envoy,3854,ORD,"Chicago, IL",IL,CMH,"Columbus, OH",OH,0844,-1,1106,-4,0,NA,NA,NA,NA,NA,NA,On Time,On Time,NA
